timestamp,message
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [219] keywordBinReason: YOE: requires 8+ yr, candidate has 3 yr for job title AI Engineer and link https://in.linkedin.com/jobs/view/ai-engineer-at-nouryon-4440503660""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [220] keywordBinReason: YOE: requires 4+ yr, candidate has 3 yr for job title GenAI and Open-source LLM Developer and link https://in.linkedin.com/jobs/view/genai-and-open-source-llm-developer-at-l-t-precision-engineering-and-systems-4434531608""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [221] keywordBinReason: YOE: requires 8+ yr, candidate has 3 yr for job title Founding AI/ML Engineer and link https://in.linkedin.com/jobs/view/founding-ai-ml-engineer-at-cutshort-4442313308""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [222] keywordBinReason: YOE: requires 5+ yr, candidate has 3 yr for job title Agentic AI Engineer III-cloud and link https://in.linkedin.com/jobs/view/agentic-ai-engineer-iii-cloud-at-insight-4442786979""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [223] keywordBinReason: YOE: requires 8+ yr, candidate has 3 yr for job title Forward Deployed Engineer and link https://in.linkedin.com/jobs/view/forward-deployed-engineer-at-coralogix-4422428597""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [224] keywordBinReason: YOE: requires 5+ yr, candidate has 3 yr for job title Ecommerce Specialist and link https://in.linkedin.com/jobs/view/ecommerce-specialist-at-athletifreak-4438584773""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [225] keywordBinReason: YOE: requires 5+ yr, candidate has 3 yr for job title AI/ML Engineer and link https://in.linkedin.com/jobs/view/ai-ml-engineer-at-optum-india-4434778467""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [226] keywordBinReason: YOE: requires 40+ yr, candidate has 3 yr for job title Software Engineer and link https://in.linkedin.com/jobs/view/software-engineer-at-cisco-4436702583""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [227] keywordBinReason: YOE: requires 4+ yr, candidate has 3 yr for job title AI Specialist (ML & LLM) and link https://in.linkedin.com/jobs/view/ai-specialist-ml-llm-at-bechtel-corporation-4431271265""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [228] keywordBinReason: YOE: requires 4+ yr, candidate has 3 yr for job title Gen AI Data Engineer and link https://in.linkedin.com/jobs/view/gen-ai-data-engineer-at-mobility-global-4439208879""}"
1785770085162,"{""timestamp"":""2026-08-03T15:14:45.162Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""  [229] keywordBinReason: YOE: requires 5+ yr, candidate has 3 yr for job title Machine Learning Engineer - LLM & GenAI and link https://in.linkedin.com/jobs/view/machine-learning-engineer-llm-genai-at-datakrew-4443901168""}"
1785770085163,"{""timestamp"":""2026-08-03T15:14:45.163Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""User 6692f404-59c5-4b7a-bca1-bbd51814dfbd: Seniority Filtered 3 jobs, remaining 355""}"
1785770085163,"{""timestamp"":""2026-08-03T15:14:45.163Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 1/71 (5 jobs)""}"
1785770085164,"{""timestamp"":""2026-08-03T15:14:45.164Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 2/71 (5 jobs)""}"
1785770085164,"{""timestamp"":""2026-08-03T15:14:45.164Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 3/71 (5 jobs)""}"
1785770085165,"{""timestamp"":""2026-08-03T15:14:45.165Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 4/71 (5 jobs)""}"
1785770085165,"{""timestamp"":""2026-08-03T15:14:45.165Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 5/71 (5 jobs)""}"
1785770085165,"{""timestamp"":""2026-08-03T15:14:45.165Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 6/71 (5 jobs)""}"
1785770085166,"{""timestamp"":""2026-08-03T15:14:45.166Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 7/71 (5 jobs)""}"
1785770085166,"{""timestamp"":""2026-08-03T15:14:45.166Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 8/71 (5 jobs)""}"
1785770085166,"{""timestamp"":""2026-08-03T15:14:45.166Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 9/71 (5 jobs)""}"
1785770085167,"{""timestamp"":""2026-08-03T15:14:45.167Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 10/71 (5 jobs)""}"
1785770085167,"{""timestamp"":""2026-08-03T15:14:45.167Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 11/71 (5 jobs)""}"
1785770085167,"{""timestamp"":""2026-08-03T15:14:45.167Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 12/71 (5 jobs)""}"
1785770085168,"{""timestamp"":""2026-08-03T15:14:45.168Z"",""level"":""INFO"",""requestId"":""8ee9f84f-1c09-42c0-9d33-7e9e5a28a411"",""message"":""OpenRouter extraction batch 13/71 (5 jobs)""}"
